Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
156.61,2.568,3.9108,0.2557,2.6608,3.9845,62.739,17.467,26.279,1002.7,0.23708,5.7625,0.11012,supercritical
156.91,2.568,3.9031,0.25621,2.6662,3.9925,62.791,17.481,26.29,1003.6,0.23446,5.7701,0.11031,supercritical
157.22,2.568,3.8954,0.25671,2.6716,4.0006,62.842,17.494,26.302,1004.4,0.23186,5.7777,0.11051,supercritical
157.53,2.568,3.8877,0.25722,2.6771,4.0086,62.893,17.508,26.313,1005.2,0.22927,5.7852,0.1107,supercritical
157.83,2.568,3.8801,0.25773,2.6825,4.0167,62.944,17.521,26.324,1006,0.2267,5.7927,0.1109,supercritical
158.14,2.568,3.8725,0.25823,2.6879,4.0248,62.995,17.535,26.336,1006.8,0.22413,5.8003,0.11109,supercritical
158.44,2.568,3.8649,0.25874,2.6934,4.0328,63.046,17.549,26.347,1007.7,0.22158,5.8078,0.11129,supercritical
158.75,2.568,3.8574,0.25924,2.6988,4.0409,63.097,17.562,26.358,1008.5,0.21905,5.8153,0.11148,supercritical
159.06,2.568,3.8499,0.25975,2.7043,4.049,63.148,17.575,26.369,1009.3,0.21652,5.8229,0.11167,supercritical
159.36,2.568,3.8424,0.26025,2.7098,4.057,63.199,17.589,26.381,1010.1,0.21401,5.8304,0.11187,supercritical
159.67,2.568,3.835,0.26076,2.7152,4.0651,63.249,17.602,26.392,1010.9,0.21151,5.8379,0.11206,supercritical
159.98,2.568,3.8275,0.26126,2.7207,4.0732,63.3,17.615,26.403,1011.8,0.20903,5.8454,0.11226,supercritical
160.28,2.568,3.8202,0.26177,2.7262,4.0813,63.35,17.629,26.414,1012.6,0.20655,5.8529,0.11245,supercritical
160.59,2.568,3.8128,0.26227,2.7316,4.0894,63.401,17.642,26.425,1013.4,0.20409,5.8604,0.11264,supercritical
160.89,2.568,3.8055,0.26278,2.7371,4.0975,63.451,17.655,26.436,1014.2,0.20164,5.8679,0.11284,supercritical
