x_mm,r_mm
54.88909,37.41317
55.08909,37.46490
55.28909,37.51651
55.48909,37.56801
55.68909,37.61940
55.88909,37.67068
56.08909,37.72184
56.28909,37.77289
56.48909,37.82383
56.68909,37.87466
56.88909,37.92538
57.08909,37.97599
57.28909,38.02649
57.48909,38.07688
57.68909,38.12716
57.88909,38.17733
58.08909,38.22740
58.28909,38.27736
58.48909,38.32721
58.68909,38.37695
58.88909,38.42658
59.08909,38.47611
59.28909,38.52554
59.48909,38.57486
59.68909,38.62407
59.88909,38.67318
60.08909,38.72219
60.28909,38.77109
60.48909,38.81989
60.68909,38.86858
60.88909,38.91717
61.08909,38.96566
61.28909,39.01405
61.48909,39.06234
61.68909,39.11052
61.88909,39.15861
62.08909,39.20659
62.28909,39.25448
62.48909,39.30226
62.68909,39.34994
62.88909,39.39753
63.08909,39.44501
63.28909,39.49240
63.48909,39.53969
63.68909,39.58688
63.88909,39.63398
64.08909,39.68097
64.28909,39.72787
64.48909,39.77468
64.68909,39.82138
64.88909,39.86800
65.08909,39.91451
65.28909,39.96093
65.48909,40.00726
65.68909,40.05349
65.88909,40.09963
66.08909,40.14567
66.28909,40.19162
66.48909,40.23748
66.68909,40.28324
66.88909,40.32891
67.08909,40.37449
67.28909,40.41998
67.48909,40.46537
67.68909,40.51068
67.88909,40.55589
68.08909,40.60101
68.28909,40.64604
68.48909,40.69098
68.68909,40.73583
68.88909,40.78059
69.08909,40.82527
69.28909,40.86985
69.48909,40.91434
69.68909,40.95875
69.88909,41.00307
70.08909,41.04729
70.28909,41.09144
70.48909,41.13549
