Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
486.34	6.2500	48.877	0.020459	10.099	14.191	185.06	22.790	31.911	426.00	0.70172	30.878	0.041814	supercritical
487.80	6.2500	48.726	0.020523	10.133	14.237	185.15	22.804	31.919	426.60	0.69483	30.942	0.041908	supercritical
489.26	6.2500	48.576	0.020586	10.167	14.284	185.25	22.818	31.927	427.20	0.68799	31.005	0.042003	supercritical
490.72	6.2500	48.426	0.020650	10.201	14.330	185.34	22.832	31.935	427.80	0.68119	31.068	0.042098	supercritical
492.18	6.2500	48.278	0.020713	10.235	14.377	185.44	22.846	31.943	428.40	0.67445	31.131	0.042192	supercritical
493.64	6.2500	48.131	0.020777	10.268	14.424	185.53	22.860	31.952	429.00	0.66776	31.194	0.042286	supercritical
495.10	6.2500	47.984	0.020840	10.302	14.470	185.63	22.874	31.960	429.59	0.66111	31.256	0.042381	supercritical
496.56	6.2500	47.839	0.020903	10.336	14.517	185.72	22.888	31.969	430.19	0.65452	31.319	0.042475	supercritical
498.02	6.2500	47.694	0.020967	10.370	14.564	185.82	22.902	31.977	430.78	0.64797	31.382	0.042570	supercritical
499.48	6.2500	47.551	0.021030	10.404	14.610	185.91	22.916	31.986	431.37	0.64147	31.444	0.042664	supercritical
500.94	6.2500	47.408	0.021093	10.438	14.657	186.00	22.930	31.994	431.97	0.63502	31.507	0.042758	supercritical
502.40	6.2500	47.266	0.021157	10.472	14.704	186.10	22.944	32.003	432.56	0.62861	31.569	0.042852	supercritical
503.86	6.2500	47.125	0.021220	10.507	14.750	186.19	22.958	32.012	433.14	0.62225	31.631	0.042946	supercritical
505.32	6.2500	46.985	0.021283	10.541	14.797	186.28	22.972	32.021	433.73	0.61593	31.694	0.043040	supercritical
506.77	6.2500	46.846	0.021347	10.575	14.844	186.37	22.986	32.030	434.32	0.60966	31.756	0.043134	supercritical
508.23	6.2500	46.708	0.021410	10.609	14.891	186.46	23.000	32.039	434.90	0.60344	31.818	0.043228	supercritical
509.69	6.2500	46.570	0.021473	10.643	14.937	186.56	23.014	32.048	435.49	0.59726	31.880	0.043322	supercritical
511.15	6.2500	46.434	0.021536	10.677	14.984	186.65	23.029	32.057	436.07	0.59112	31.942	0.043416	supercritical
512.61	6.2500	46.298	0.021599	10.711	15.031	186.74	23.043	32.066	436.65	0.58503	32.004	0.043510	supercritical
514.07	6.2500	46.163	0.021662	10.745	15.078	186.83	23.057	32.075	437.23	0.57898	32.066	0.043603	supercritical
515.53	6.2500	46.029	0.021726	10.780	15.125	186.92	23.071	32.084	437.81	0.57298	32.127	0.043697	supercritical
516.99	6.2500	45.895	0.021789	10.814	15.171	187.01	23.085	32.094	438.39	0.56702	32.189	0.043791	supercritical
518.45	6.2500	45.763	0.021852	10.848	15.218	187.10	23.099	32.103	438.97	0.56109	32.251	0.043884	supercritical
519.91	6.2500	45.631	0.021915	10.882	15.265	187.19	23.113	32.112	439.55	0.55521	32.312	0.043978	supercritical
521.37	6.2500	45.500	0.021978	10.917	15.312	187.28	23.127	32.122	440.12	0.54938	32.374	0.044071	supercritical
522.83	6.2500	45.370	0.022041	10.951	15.359	187.37	23.141	32.131	440.70	0.54358	32.435	0.044165	supercritical
524.29	6.2500	45.241	0.022104	10.985	15.406	187.46	23.155	32.141	441.27	0.53782	32.496	0.044258	supercritical
525.75	6.2500	45.112	0.022167	11.019	15.453	187.55	23.170	32.150	441.84	0.53211	32.557	0.044351	supercritical
527.21	6.2500	44.984	0.022230	11.054	15.500	187.64	23.184	32.160	442.41	0.52643	32.619	0.044445	supercritical
528.67	6.2500	44.857	0.022293	11.088	15.547	187.73	23.198	32.170	442.98	0.52079	32.680	0.044538	supercritical
530.12	6.2500	44.731	0.022356	11.122	15.593	187.82	23.212	32.179	443.55	0.51520	32.741	0.044631	supercritical
531.58	6.2500	44.605	0.022419	11.157	15.640	187.91	23.226	32.189	444.12	0.50964	32.802	0.044724	supercritical
533.04	6.2500	44.480	0.022482	11.191	15.687	188.00	23.240	32.199	444.69	0.50412	32.863	0.044817	supercritical
534.50	6.2500	44.356	0.022545	11.226	15.734	188.08	23.254	32.209	445.25	0.49863	32.923	0.044910	supercritical
535.96	6.2500	44.232	0.022608	11.260	15.781	188.17	23.268	32.219	445.82	0.49319	32.984	0.045003	supercritical
537.42	6.2500	44.110	0.022671	11.294	15.828	188.26	23.282	32.229	446.38	0.48778	33.045	0.045096	supercritical
538.88	6.2500	43.988	0.022734	11.329	15.876	188.35	23.296	32.238	446.95	0.48241	33.105	0.045189	supercritical
540.34	6.2500	43.866	0.022797	11.363	15.923	188.43	23.310	32.248	447.51	0.47708	33.166	0.045282	supercritical
541.80	6.2500	43.746	0.022859	11.398	15.970	188.52	23.324	32.258	448.07	0.47178	33.226	0.045374	supercritical
543.26	6.2500	43.626	0.022922	11.432	16.017	188.61	23.338	32.268	448.63	0.46652	33.287	0.045467	supercritical
544.72	6.2500	43.507	0.022985	11.467	16.064	188.69	23.353	32.278	449.19	0.46129	33.347	0.045560	supercritical
546.18	6.2500	43.388	0.023048	11.502	16.111	188.78	23.367	32.288	449.75	0.45610	33.407	0.045652	supercritical
547.64	6.2500	43.270	0.023111	11.536	16.158	188.87	23.381	32.299	450.31	0.45095	33.467	0.045745	supercritical
549.10	6.2500	43.153	0.023173	11.571	16.205	188.95	23.395	32.309	450.86	0.44583	33.528	0.045837	supercritical
550.56	6.2500	43.036	0.023236	11.605	16.252	189.04	23.409	32.319	451.42	0.44074	33.588	0.045930	supercritical
552.02	6.2500	42.920	0.023299	11.640	16.300	189.12	23.423	32.329	451.97	0.43569	33.648	0.046022	supercritical
553.48	6.2500	42.805	0.023362	11.675	16.347	189.21	23.437	32.339	452.53	0.43068	33.707	0.046114	supercritical
554.93	6.2500	42.690	0.023425	11.709	16.394	189.29	23.451	32.349	453.08	0.42569	33.767	0.046207	supercritical
556.39	6.2500	42.576	0.023487	11.744	16.441	189.38	23.464	32.360	453.63	0.42074	33.827	0.046299	supercritical
557.85	6.2500	42.463	0.023550	11.779	16.488	189.46	23.478	32.370	454.18	0.41582	33.887	0.046391	supercritical
559.31	6.2500	42.350	0.023613	11.813	16.536	189.55	23.492	32.380	454.73	0.41094	33.946	0.046483	supercritical
560.77	6.2500	42.238	0.023675	11.848	16.583	189.63	23.506	32.391	455.28	0.40609	34.006	0.046575	supercritical
562.23	6.2500	42.126	0.023738	11.883	16.630	189.72	23.520	32.401	455.83	0.40127	34.066	0.046667	supercritical
563.69	6.2500	42.016	0.023801	11.917	16.677	189.80	23.534	32.411	456.38	0.39648	34.125	0.046759	supercritical
565.15	6.2500	41.905	0.023863	11.952	16.725	189.89	23.548	32.422	456.92	0.39172	34.184	0.046851	supercritical
566.61	6.2500	41.796	0.023926	11.987	16.772	189.97	23.562	32.432	457.47	0.38700	34.244	0.046943	supercritical
568.07	6.2500	41.686	0.023989	12.022	16.819	190.05	23.576	32.442	458.01	0.38230	34.303	0.047035	supercritical
569.53	6.2500	41.578	0.024051	12.057	16.867	190.14	23.590	32.453	458.56	0.37764	34.362	0.047126	supercritical
570.99	6.2500	41.470	0.024114	12.092	16.914	190.22	23.603	32.463	459.10	0.37301	34.421	0.047218	supercritical
572.45	6.2500	41.363	0.024176	12.126	16.962	190.30	23.617	32.474	459.64	0.36840	34.480	0.047310	supercritical
573.91	6.2500	41.256	0.024239	12.161	17.009	190.38	23.631	32.484	460.18	0.36383	34.539	0.047401	supercritical
575.37	6.2500	41.150	0.024302	12.196	17.056	190.47	23.645	32.495	460.72	0.35929	34.598	0.047493	supercritical
576.83	6.2500	41.044	0.024364	12.231	17.104	190.55	23.658	32.505	461.26	0.35477	34.657	0.047585	supercritical
578.29	6.2500	40.939	0.024427	12.266	17.151	190.63	23.672	32.516	461.80	0.35029	34.716	0.047676	supercritical
579.74	6.2500	40.834	0.024489	12.301	17.199	190.71	23.686	32.526	462.34	0.34584	34.775	0.047767	supercritical
581.20	6.2500	40.730	0.024552	12.336	17.246	190.80	23.700	32.537	462.88	0.34141	34.833	0.047859	supercritical
582.66	6.2500	40.627	0.024614	12.371	17.294	190.88	23.713	32.547	463.42	0.33701	34.892	0.047950	supercritical
584.12	6.2500	40.524	0.024677	12.406	17.341	190.96	23.727	32.558	463.95	0.33264	34.950	0.048041	supercritical
585.58	6.2500	40.422	0.024739	12.441	17.389	191.04	23.741	32.568	464.49	0.32830	35.009	0.048133	supercritical
587.04	6.2500	40.320	0.024802	12.476	17.436	191.12	23.754	32.579	465.02	0.32399	35.067	0.048224	supercritical
588.50	6.2500	40.218	0.024864	12.511	17.484	191.20	23.768	32.589	465.55	0.31970	35.126	0.048315	supercritical
589.96	6.2500	40.118	0.024927	12.546	17.531	191.28	23.782	32.600	466.09	0.31544	35.184	0.048406	supercritical
591.42	6.2500	40.017	0.024989	12.581	17.579	191.36	23.795	32.611	466.62	0.31121	35.242	0.048497	supercritical
592.88	6.2500	39.918	0.025052	12.616	17.627	191.44	23.809	32.621	467.15	0.30700	35.300	0.048588	supercritical
594.34	6.2500	39.818	0.025114	12.652	17.674	191.52	23.822	32.632	467.68	0.30283	35.358	0.048679	supercritical
595.80	6.2500	39.720	0.025176	12.687	17.722	191.60	23.836	32.642	468.21	0.29867	35.416	0.048770	supercritical
597.26	6.2500	39.621	0.025239	12.722	17.769	191.68	23.849	32.653	468.74	0.29455	35.474	0.048861	supercritical
598.72	6.2500	39.524	0.025301	12.757	17.817	191.76	23.863	32.664	469.26	0.29045	35.532	0.048951	supercritical
600.18	6.2500	39.426	0.025364	12.792	17.865	191.84	23.876	32.674	469.79	0.28637	35.590	0.049042	supercritical
601.64	6.2500	39.330	0.025426	12.827	17.912	191.92	23.890	32.685	470.32	0.28233	35.648	0.049133	supercritical
603.09	6.2500	39.234	0.025488	12.863	17.960	192.00	23.903	32.695	470.84	0.27830	35.706	0.049223	supercritical
604.55	6.2500	39.138	0.025551	12.898	18.008	192.08	23.916	32.706	471.37	0.27431	35.764	0.049314	supercritical
606.01	6.2500	39.042	0.025613	12.933	18.056	192.16	23.930	32.717	471.89	0.27033	35.821	0.049404	supercritical
607.47	6.2500	38.948	0.025675	12.968	18.103	192.24	23.943	32.727	472.42	0.26638	35.879	0.049495	supercritical
608.93	6.2500	38.853	0.025738	13.004	18.151	192.32	23.956	32.738	472.94	0.26246	35.936	0.049585	supercritical
610.39	6.2500	38.760	0.025800	13.039	18.199	192.39	23.970	32.748	473.46	0.25856	35.994	0.049676	supercritical
611.85	6.2500	38.666	0.025862	13.074	18.247	192.47	23.983	32.759	473.98	0.25469	36.051	0.049766	supercritical
613.31	6.2500	38.573	0.025925	13.110	18.295	192.55	23.996	32.770	474.50	0.25083	36.108	0.049856	supercritical
614.77	6.2500	38.481	0.025987	13.145	18.342	192.63	24.010	32.780	475.02	0.24701	36.166	0.049947	supercritical
616.23	6.2500	38.389	0.026049	13.181	18.390	192.71	24.023	32.791	475.54	0.24320	36.223	0.050037	supercritical
617.69	6.2500	38.297	0.026112	13.216	18.438	192.78	24.036	32.802	476.06	0.23942	36.280	0.050127	supercritical
619.15	6.2500	38.206	0.026174	13.251	18.486	192.86	24.049	32.812	476.58	0.23566	36.337	0.050217	supercritical
620.61	6.2500	38.115	0.026236	13.287	18.534	192.94	24.062	32.823	477.09	0.23193	36.394	0.050307	supercritical
622.07	6.2500	38.025	0.026298	13.322	18.582	193.02	24.075	32.833	477.61	0.22822	36.451	0.050397	supercritical
623.53	6.2500	37.935	0.026361	13.358	18.630	193.09	24.089	32.844	478.13	0.22453	36.508	0.050487	supercritical
624.99	6.2500	37.846	0.026423	13.393	18.678	193.17	24.102	32.855	478.64	0.22086	36.565	0.050577	supercritical
626.45	6.2500	37.757	0.026485	13.429	18.726	193.25	24.115	32.865	479.16	0.21721	36.622	0.050667	supercritical
627.90	6.2500	37.669	0.026547	13.464	18.774	193.32	24.128	32.876	479.67	0.21359	36.679	0.050757	supercritical
629.36	6.2500	37.581	0.026610	13.500	18.822	193.40	24.141	32.886	480.18	0.20999	36.735	0.050846	supercritical
630.82	6.2500	37.493	0.026672	13.535	18.870	193.48	24.154	32.897	480.69	0.20641	36.792	0.050936	supercritical
632.28	6.2500	37.406	0.026734	13.571	18.918	193.55	24.167	32.908	481.21	0.20285	36.848	0.051026	supercritical
633.74	6.2500	37.319	0.026796	13.607	18.966	193.63	24.180	32.918	481.72	0.19932	36.905	0.051115	supercritical
635.20	6.2500	37.232	0.026858	13.642	19.014	193.70	24.192	32.929	482.23	0.19580	36.961	0.051205	supercritical
636.66	6.2500	37.147	0.026920	13.678	19.062	193.78	24.205	32.939	482.74	0.19231	37.018	0.051294	supercritical
638.12	6.2500	37.061	0.026983	13.713	19.110	193.85	24.218	32.950	483.24	0.18883	37.074	0.051384	supercritical
639.58	6.2500	36.976	0.027045	13.749	19.158	193.93	24.231	32.960	483.75	0.18538	37.130	0.051473	supercritical
641.04	6.2500	36.891	0.027107	13.785	19.206	194.00	24.244	32.971	484.26	0.18195	37.187	0.051563	supercritical
642.50	6.2500	36.807	0.027169	13.821	19.254	194.08	24.257	32.981	484.77	0.17854	37.243	0.051652	supercritical
643.96	6.2500	36.723	0.027231	13.856	19.302	194.15	24.269	32.992	485.27	0.17514	37.299	0.051741	supercritical
