Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
280.57,10,147.17,0.0067947,5.12,7.2942,162.62,21.851,35.925,326.46,2.298,22.277,0.030506,supercritical
282.03,10,146.13,0.0068434,5.1568,7.3466,162.81,21.844,35.819,327.46,2.2768,22.342,0.030574,supercritical
283.49,10,145.1,0.0068919,5.1935,7.3988,163,21.838,35.717,328.46,2.2559,22.407,0.030643,supercritical
284.95,10,144.09,0.0069403,5.23,7.4508,163.18,21.831,35.618,329.45,2.2351,22.472,0.030712,supercritical
286.41,10,143.09,0.0069885,5.2665,7.5028,163.36,21.825,35.522,330.43,2.2146,22.537,0.030782,supercritical
287.86,10,142.12,0.0070365,5.3029,7.5545,163.54,21.82,35.428,331.41,2.1943,22.603,0.030853,supercritical
289.32,10,141.15,0.0070844,5.3392,7.6062,163.72,21.815,35.338,332.39,2.1742,22.668,0.030925,supercritical
290.78,10,140.21,0.0071322,5.3754,7.6577,163.9,21.81,35.25,333.36,2.1543,22.734,0.030997,supercritical
292.24,10,139.28,0.0071799,5.4116,7.709,164.07,21.806,35.164,334.32,2.1346,22.8,0.03107,supercritical
293.7,10,138.36,0.0072274,5.4476,7.7603,164.25,21.802,35.081,335.28,2.1151,22.866,0.031144,supercritical
295.16,10,137.46,0.0072747,5.4836,7.8114,164.42,21.799,35.001,336.23,2.0958,22.933,0.031218,supercritical
296.62,10,136.58,0.007322,5.5195,7.8625,164.59,21.796,34.922,337.18,2.0767,22.999,0.031292,supercritical
298.08,10,135.7,0.0073691,5.5554,7.9134,164.77,21.793,34.846,338.12,2.0578,23.066,0.031367,supercritical
299.54,10,134.84,0.0074161,5.5911,7.9642,164.94,21.79,34.772,339.06,2.0391,23.132,0.031443,supercritical
