Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
258.65	20.265	10.812	0.092486	116.4	174.98	4.72	0.71204	1.4308	351.36	1.494	27.627	0.039857	supercritical
261.9	20.265	10.583	0.094494	119.74	179.58	4.7377	0.71034	1.4091	352.56	1.4858	27.506	0.039591	supercritical
265.14	20.265	10.364	0.096485	123.01	184.12	4.7549	0.70876	1.3888	353.84	1.4759	27.407	0.039357	supercritical
268.38	20.265	10.157	0.098459	126.23	188.59	4.7716	0.70729	1.3697	355.19	1.4645	27.327	0.039153	supercritical
271.62	20.265	9.9586	0.10042	129.41	193	4.788	0.70594	1.3518	356.59	1.4518	27.265	0.038975	supercritical
274.87	20.265	9.7698	0.10236	132.53	197.36	4.8039	0.70469	1.335	358.04	1.438	27.218	0.038822	supercritical
278.11	20.265	9.5896	0.10428	135.62	201.66	4.8195	0.70354	1.3193	359.53	1.4233	27.185	0.038692	supercritical
281.35	20.265	9.4172	0.10619	138.66	205.91	4.8347	0.70249	1.3045	361.05	1.4077	27.166	0.038582	supercritical
284.59	20.265	9.2522	0.10808	141.67	210.12	4.8496	0.70152	1.2906	362.6	1.3915	27.158	0.038491	supercritical
287.84	20.265	9.0941	0.10996	144.65	214.29	4.8641	0.70064	1.2776	364.17	1.3746	27.16	0.038417	supercritical
291.08	20.265	8.9424	0.11183	147.59	218.41	4.8784	0.69984	1.2653	365.76	1.3573	27.173	0.038358	supercritical
294.32	20.265	8.7968	0.11368	150.5	222.49	4.8923	0.69912	1.2537	367.36	1.3396	27.194	0.038313	supercritical
297.57	20.265	8.6568	0.11552	153.38	226.54	4.906	0.69847	1.2428	368.98	1.3216	27.223	0.03828	supercritical
300.81	20.265	8.5222	0.11734	156.24	230.55	4.9194	0.69789	1.2325	370.6	1.3032	27.26	0.038258	supercritical
304.05	20.265	8.3925	0.11915	159.07	234.53	4.9326	0.69737	1.2228	372.23	1.2847	27.304	0.038242	supercritical
