Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
357.43,20.265,6.1565,0.16243,3275.3,4908.2,34.041,10.451,14.721,1597.9,-0.45058,10.335,0.22652,supercritical
359.07,20.265,6.1306,0.16312,3292.7,4932.4,34.108,10.452,14.721,1600.7,-0.4517,10.365,0.22719,supercritical
360.72,20.265,6.105,0.1638,3310,4956.6,34.175,10.454,14.72,1603.6,-0.45282,10.394,0.22786,supercritical
362.36,20.265,6.0796,0.16449,3327.3,4980.8,34.242,10.455,14.719,1606.5,-0.45392,10.424,0.22853,supercritical
364,20.265,6.0544,0.16517,3344.6,5005,34.309,10.456,14.719,1609.3,-0.45502,10.454,0.22919,supercritical
365.65,20.265,6.0294,0.16586,3361.9,5029.2,34.375,10.458,14.718,1612.2,-0.45612,10.483,0.22986,supercritical
367.29,20.265,6.0046,0.16654,3379.2,5053.3,34.441,10.459,14.717,1615,-0.4572,10.513,0.23053,supercritical
368.93,20.265,5.98,0.16722,3396.5,5077.5,34.507,10.46,14.716,1617.9,-0.45828,10.543,0.23119,supercritical
370.58,20.265,5.9556,0.16791,3413.8,5101.7,34.572,10.461,14.716,1620.7,-0.45935,10.572,0.23186,supercritical
372.22,20.265,5.9315,0.16859,3431.1,5125.9,34.637,10.462,14.715,1623.6,-0.46041,10.602,0.23252,supercritical
373.86,20.265,5.9075,0.16928,3448.4,5150.1,34.702,10.463,14.714,1626.4,-0.46146,10.631,0.23318,supercritical
375.51,20.265,5.8837,0.16996,3465.7,5174.3,34.767,10.464,14.713,1629.2,-0.46251,10.661,0.23384,supercritical
377.15,20.265,5.8602,0.17064,3483,5198.4,34.831,10.465,14.712,1632.1,-0.46354,10.69,0.2345,supercritical
378.79,20.265,5.8368,0.17133,3500.3,5222.6,34.895,10.466,14.711,1634.9,-0.46458,10.72,0.23516,supercritical
380.44,20.265,5.8136,0.17201,3517.6,5246.8,34.959,10.467,14.711,1637.7,-0.4656,10.749,0.23582,supercritical
382.08,20.265,5.7906,0.17269,3534.9,5271,35.022,10.468,14.71,1640.5,-0.46662,10.779,0.23648,supercritical
383.72,20.265,5.7678,0.17338,3552.2,5295.1,35.085,10.469,14.709,1643.4,-0.46763,10.808,0.23714,supercritical
385.37,20.265,5.7451,0.17406,3569.5,5319.3,35.148,10.47,14.708,1646.2,-0.46863,10.838,0.23779,supercritical
387.01,20.265,5.7227,0.17474,3586.8,5343.5,35.211,10.47,14.707,1649,-0.46962,10.867,0.23845,supercritical
388.65,20.265,5.7004,0.17543,3604.1,5367.7,35.273,10.471,14.706,1651.8,-0.47061,10.897,0.2391,supercritical
390.3,20.265,5.6783,0.17611,3621.5,5391.8,35.335,10.472,14.705,1654.6,-0.47159,10.926,0.23976,supercritical
