x_mm,r_mm
-324.53086,41.93708
-324.33086,41.93708
-324.13086,41.93708
-323.93086,41.93708
-323.73086,41.93708
-323.53086,41.93708
-323.33086,41.93708
-323.13086,41.93708
-322.93086,41.93708
-322.73086,41.93708
-322.53086,41.93708
-322.33086,41.93708
-322.13086,41.93708
-321.93086,41.93708
-321.73086,41.93708
-321.53086,41.93708
-321.33086,41.93708
-321.13086,41.93708
-320.93086,41.93708
-320.73086,41.93708
-320.53086,41.93708
-320.33086,41.93708
-320.13086,41.93708
-319.93086,41.93708
-319.73086,41.93708
-319.53086,41.93708
-319.33086,41.93708
-319.13086,41.93708
-318.93086,41.93708
-318.73086,41.93708
-318.53086,41.93708
-318.33086,41.93708
-318.13086,41.93708
-317.93086,41.93708
-317.73086,41.93708
-317.53086,41.93708
-317.33086,41.93708
-317.13086,41.93708
-316.93086,41.93708
-316.73086,41.93708
-316.53086,41.93708
-316.33086,41.93708
-316.13086,41.93708
-315.93086,41.93708
-315.73086,41.93708
-315.53086,41.93708
-315.33086,41.93708
-315.13086,41.93708
-314.93086,41.93708
-314.73086,41.93708
-314.53086,41.93708
-314.33086,41.93708
-314.13086,41.93708
-313.93086,41.93708
-313.73086,41.93708
-313.53086,41.93708
-313.33086,41.93708
-313.13086,41.93708
-312.93086,41.93708
-312.73086,41.93708
-312.53086,41.93708
-312.33086,41.93708
-312.13086,41.93708
-311.93086,41.93708
-311.73086,41.93708
-311.53086,41.93708
-311.33086,41.93708
-311.13086,41.93708
-310.93086,41.93708
-310.73086,41.93708
-310.53086,41.93708
-310.33086,41.93708
-310.13086,41.93708
-309.93086,41.93708
-309.73086,41.93708
-309.53086,41.93708
-309.33086,41.93708
-309.13086,41.93708
-308.93086,41.93708
-308.73086,41.93708
-308.53086,41.93708
-308.33086,41.93708
-308.13086,41.93708
-307.93086,41.93708
-307.73086,41.93708
-307.53086,41.93708
-307.33086,41.93708
-307.13086,41.93708
-306.93086,41.93708
-306.73086,41.93708
-306.53086,41.93708
-306.33086,41.93708
-306.13086,41.93708
-305.93086,41.93708
-305.73086,41.93708
-305.53086,41.93708
-305.33086,41.93708
-305.13086,41.93708
-304.93086,41.93708
-304.73086,41.93708
-304.53086,41.93708
-304.33086,41.93708
-304.13086,41.93708
-303.93086,41.93708
-303.73086,41.93708
-303.53086,41.93708
-303.33086,41.93708
-303.13086,41.93708
-302.93086,41.93708
-302.73086,41.93708
-302.53086,41.93708
-302.33086,41.93708
-302.13086,41.93708
-301.93086,41.93708
-301.73086,41.93708
-301.53086,41.93708
-301.33086,41.93708
-301.13086,41.93708
-300.93086,41.93708
-300.73086,41.93708
-300.53086,41.93708
-300.33086,41.93708
-300.13086,41.93708
-299.93086,41.93708
-299.73086,41.93708
-299.53086,41.93708
-299.33086,41.93708
-299.13086,41.93708
-298.93086,41.93708
-298.73086,41.93708
-298.53086,41.93708
-298.33086,41.93708
-298.13086,41.93708
-297.93086,41.93708
-297.73086,41.93708
-297.53086,41.93708
-297.33086,41.93708
-297.13086,41.93708
-296.93086,41.93708
-296.73086,41.93708
-296.53086,41.93708
-296.33086,41.93708
-296.13086,41.93708
-295.93086,41.93708
-295.73086,41.93708
-295.53086,41.93708
-295.33086,41.93708
-295.13086,41.93708
