x_mm,r_inner_mm,r_floor_mm,r_centerline_mm,r_ceiling_mm
18.28909,25.37898,26.37898,26.97839,27.57780
19.28909,25.79983,26.79983,27.40194,28.00405
20.28909,26.21359,27.21359,27.81841,28.42322
21.28909,26.62052,27.62052,28.22803,28.83555
22.28909,27.02083,28.02083,28.63105,29.24126
23.28909,27.41474,28.41474,29.02766,29.64058
24.28909,27.80246,28.80246,29.41808,30.03370
25.28909,28.18418,29.18418,29.80250,30.42082
26.28909,28.56008,29.56008,30.18110,30.80213
27.28909,28.93034,29.93034,30.55406,31.17779
28.28909,29.29512,30.29512,30.92154,31.54797
29.28909,29.65457,30.65457,31.28370,31.91283
30.28909,30.00886,31.00886,31.64069,32.27252
31.28909,30.35813,31.35813,31.99266,32.62719
32.28909,30.70250,31.70250,32.33973,32.97697
33.28909,31.04212,32.04212,32.68205,33.32199
34.28909,31.37710,32.37710,33.01973,33.66237
35.28909,31.70756,32.70756,33.35290,33.99824
36.28909,32.03363,33.03363,33.68167,34.32971
37.28909,32.35541,33.35541,34.00615,34.65689
38.28909,32.67300,33.67300,34.32645,34.97989
39.28909,32.98651,33.98651,34.64266,35.29880
40.28909,33.29604,34.29604,34.95488,35.61373
41.28909,33.60167,34.60167,35.26322,35.92477
42.28909,33.90350,34.90350,35.56775,36.23200
43.28909,34.20161,35.20161,35.86856,36.53551
44.28909,34.49609,35.49609,36.16574,36.83539
45.28909,34.78701,35.78701,36.45937,37.13172
46.28909,35.07446,36.07446,36.74952,37.42457
47.28909,35.35850,36.35850,37.03626,37.71402
48.28909,35.63922,36.63922,37.31968,38.00014
49.28909,35.91667,36.91667,37.59984,38.28300
50.28909,36.19093,37.19093,37.87680,38.56266
51.28909,36.46206,37.46206,38.15063,38.83919
52.28909,36.73013,37.73013,38.42139,39.11266
53.28909,36.99518,37.99518,38.68915,39.38312
54.28909,37.25729,38.25729,38.95396,39.65063
55.28909,37.51651,38.51651,39.21588,39.91525
56.28909,37.77289,38.77289,39.47496,40.17704
57.28909,38.02649,39.02649,39.73126,40.43604
58.28909,38.27736,39.27736,39.98483,40.69231
59.28909,38.52554,39.52554,40.23572,40.94589
60.28909,38.77109,39.77109,40.48397,41.19685
61.28909,39.01405,40.01405,40.72963,41.44521
62.28909,39.25448,40.25448,40.97276,41.69104
63.28909,39.49240,40.49240,41.21339,41.93437
64.28909,39.72787,40.72787,41.45156,42.17525
65.28909,39.96093,40.96093,41.68732,42.41371
66.28909,40.19162,41.19162,41.92071,42.64980
67.28909,40.41998,41.41998,42.15177,42.88356
68.28909,40.64604,41.64604,42.38053,43.11503
69.28909,40.86985,41.86985,42.60704,43.34424
70.28909,41.09144,42.09144,42.83133,43.57123
71.28909,41.31084,42.31084,43.05344,43.79603
72.28909,41.52809,42.52809,43.27339,44.01869
73.28909,41.74323,42.74323,43.49123,44.23923
